figure_name,embryo_image,,Contrast RR ,Correlation RR,Energy RR,Homogeneity RR,Contrast TE,Correlation TE,Energy TE ,Homogeneity TE,DC1,Mean DC1,LC1,Mean LC1,DC2,Mean DC2,LC2,Mean LC2,Radius ER,Sum ER,Mean grey ER,Deviation RR,Mean grey RR,Mode value RR,Dark RR,Mean Count RR,Bright RR,Deviation TE,Mean grey TE, Mode grey TE,Dark TE,Mean Count TE,Bright TE,WSN,Area ICM,Convex ICM,Eccen ICM,Mean ICM,MFA Classification,TGA Classification,BLC Classification,Modal value
blq1,,,0.36574122,0.971707785,0.135565391,0.883239821,0.622231427,0.938426636,0.380962395,0.877831721,1,90.90825688,2,200.9311927,0,0,0,0,144,0.218807346,102.850587,85.37253637,105.2581618,10,0.300110799,0.028936587,0.046690201,78.69183304,52.8964659,255,1.319230075,0.072328584,0.106985493,497,0.135990833,0.167375781,0.722542245,62.68034641,1,1,1,1
blq2,,,0.274494028,0.976492344,0.161102719,0.912793916,0.510196807,0.947825753,0.420069759,0.898653112,2,93.02293578,0,0,0,0,0,0,164,0.171912902,108.6922444,81.7601365,112.5845751,10,0.301287187,0.033648454,0.021773576,77.66056938,49.22960095,255,1.237408535,0.061849063,0.0875928,555,0.105806044,0.127980467,0.76790772,113.099843,1,1,1,1
blq3,,,0.235216486,0.976233436,0.163195588,0.90655194,0.312740292,0.974001132,0.356004987,0.923473258,5,119.4330275,19,192.3998069,0,0,5,195.1876751,145,0.246381693,100.835263,75.18106995,83.1572435,10,0.34956188,0.065326633,0.036792,85.77465132,61.30985022,255,1.245423095,0.078634378,0.138380344,378,0.112744944,0.140184958,0.647765004,126.5243846,2,3,2,2
blq4,,,0.338098279,0.961875726,0.142757465,0.886401506,0.343975341,0.964994874,0.457060465,0.917729957,21,92.97946702,15,177.253832,2,109.477591,1,159.2044944,177,0.182894324,112.4879904,72.43540311,112.7619743,10,0.242160505,0.054590929,0.008717778,77.96128729,49.54315499,255,1.216860154,0.021411326,0.070103659,687,0.053238362,0.065845367,0.854332552,44.71540435,2,3,2,2
blq5,,,0.402373194,0.943381049,0.134080994,0.863124803,0.286403137,0.968095359,0.434428304,0.912532256,20,85.7587156,17,138.3130059,1,77.18137255,1,115.3098996,169,0.225093826,95.82717995,64.56288681,90.8529889,10,0.276549362,0.069645462,0.005195955,74.74546345,47.11213447,255,1.224458686,0.048714124,0.0776115,625,0.053974531,0.06710135,0.826388894,126.1456607,2,2,1,2
blq6,,,0.319450789,0.969724418,0.142106167,0.885232228,0.54542724,0.95090057,0.362200601,0.885368394,5,91.49174312,11,178.9841535,0,0,1,232.8696629,145,0.214633972,103.468014,77.67255773,93.92538067,10,0.325244312,0.049872478,0.030580036,82.35197775,58.84869673,255,1.270523472,0.064064039,0.09525012,707,0.10059593,0.13433039,0.804895616,80.97813639,1,2,2,2
blq7,,,0.272272414,0.97541186,0.131711004,0.905899725,0.329115719,0.960718933,0.495059913,0.925876792,0,0,1,180.0917431,0,0,0,0,165,0.153408412,115.9740878,80.11991929,118.9101689,10,0.259213548,0.069209017,0.03210486,72.00567699,41.56902553,255,1.242840851,0.034229561,0.061725695,673,0.06764266,0.086076348,0.872318302,162.9033046,1,2,1,1
blq8,,,0.394673991,0.965249293,0.139798582,0.868654585,0.514282938,0.951864651,0.32552525,0.877019483,6,105.5048309,10,186.1155963,0,0,0,0,125,0.246560291,98.60269996,80.45068149,92.12143507,10,0.336853764,0.056603774,0.043866936,80.69664677,60.85159917,255,1.394841976,0.083738776,0.120248408,608,0.01480079,0.019236882,0.707561003,35.28851541,2,2,2,2
blq9,,,0.304184036,0.963361532,0.156313041,0.895366315,0.372008763,0.960812348,0.447075155,0.913482835,10,107.0231911,8,191.5416667,1,118.3239875,2,189.0560224,173,0.166126513,111.2637933,70.42000149,113.2889196,162,0.23324875,0.051457132,0.008811995,76.69255257,49.29139256,255,1.224190696,0.027666282,0.065359477,746,0.052857947,0.072193657,0.923552163,103.3513206,2,2,2,2
blq10,,,0.311838928,0.962491956,0.153371365,0.893192183,0.331804696,0.963504409,0.429474742,0.9084195,6,73.9648318,3,225.4036697,0,0,1,189.0364146,167,0.171829586,101.6875524,69.76256323,100.6338973,10,0.273230707,0.054124541,0.006486139,75.14416065,48.19702585,255,1.22857288,0.044640891,0.072702332,490,0.090892311,0.119654279,0.900666483,65.5314321,1,1,1,1
