# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID.1,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat.1,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT,DIP,DIP.1,target_pregnant,et_month,et_dayofweek,opu_lag_days,freeze_lag_days
1.0,DZF,DZF,DZF,2025-05-01,DZF,5,Local crossbred,Cow,,,18.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Pregnant,,,,2025-04-22,909,Grey Brahman,2.1,NCC Jackpot,,Conventional,Grey Brahman,,,293.0,1.0,2025-05,3.0,9.0,
2.0,DZF,DZF,DZF,2025-05-01,DZF,38,Local crossbred,Cow,,,17.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-04-22,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-05,3.0,9.0,
3.0,DZF,DZF,DZF,2025-05-01,DZF,16,Local crossbred,Cow,,,19.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-04-22,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-05,3.0,9.0,
4.0,DZF,DZF,DZF,2025-05-01,DZF,18,Local crossbred,Cow,,,17.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-04-22,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-05,3.0,9.0,
5.0,DZF,DZF,DZF,2025-05-01,DZF,51,Local crossbred,Cow,,,20.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-04-22,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-05,3.0,9.0,
6.0,DZF,DZF,DZF,2025-05-01,DZF,42,Local crossbred,Cow,,,20.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-04-22,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-05,3.0,9.0,
7.0,DZF,DZF,DZF,2025-05-01,DZF,43,Local crossbred,Cow,,,18.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Pregnant,,,,2025-04-22,747,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,293.0,1.0,2025-05,3.0,9.0,
8.0,DZF,DZF,DZF,2025-05-21,DZF,6,Local crossbred,Cow,,left,16.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-13,967,Grey Brahman,3.0,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-05,2.0,8.0,
9.0,DZF,DZF,DZF,2025-05-21,DZF,17,Local crossbred,Cow,,right,16.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-13,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-05,2.0,8.0,
10.0,DZF,DZF,DZF,2025-05-21,DZF,19,Local crossbred,Cow,,left,16.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-13,612,Grey Brahman,2.2,CAUCHITOS KARU SIMON 922/6,,Conventional,Grey Brahman,,,,0.0,2025-05,2.0,8.0,
11.0,DZF,DZF,DZF,2025-05-21,DZF,24,Local crossbred,Cow,,left,17.0,CIDR+E2+PGF+ECG,Fresh,,,Hamid,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-13,609,Grey Brahman,2.3,CAUCHITOS KARU SIMON 922/6,,Conventional,Grey Brahman,,,,0.0,2025-05,2.0,8.0,
12.0,DZF,DZF,DZF,2025-05-21,DZF,27,Local crossbred,Cow,,left,18.0,CIDR+E2+PGF+ECG,Fresh,,,Fakhar,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-13,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-05,2.0,8.0,
13.0,DZF,DZF,DZF,2025-05-21,DZF,30,Local crossbred,Cow,,left,17.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-13,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-05,2.0,8.0,
14.0,DZF,DZF,DZF,2025-05-21,DZF,31,Local crossbred,Cow,,right,18.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Pregnant,,,,2025-05-13,909,Grey Brahman,2.1,NCC Jackpot,,Conventional,Grey Brahman,,,273.0,1.0,2025-05,2.0,8.0,
15.0,DZF,DZF,DZF,2025-05-21,DZF,32,Local crossbred,Cow,,right,13.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-13,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-05,2.0,8.0,
16.0,DZF,DZF,DZF,2025-05-21,DZF,33,Local crossbred,Cow,,left,20.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-13,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-05,2.0,8.0,
17.0,DZF,DZF,DZF,2025-05-21,DZF,R1,Local crossbred,Cow,,right,12.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,8.0,1.0,,7.0,,Pregnant,,,,2025-05-13,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,Dawood,-273.0,273.0,1.0,2025-05,2.0,8.0,
18.0,DZF,DZF,DZF,2025-05-21,DZF,R3,Local crossbred,Cow,,right,17.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-13,D3,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-05,2.0,8.0,
19.0,DZF,DZF,DZF,2025-05-21,DZF,21,Local crossbred,Cow,,right,12.0,Natural heat,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-13,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-05,2.0,8.0,
20.0,DZF,DZF,DZF,2025-05-22,DZF,34,Local crossbred,Cow,,left,17.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Pregnant,,,,2025-05-14,747,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,272.0,1.0,2025-05,3.0,8.0,
21.0,DZF,DZF,DZF,2025-05-22,DZF,40,Local crossbred,Cow,,left,16.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,8.0,1.0,,7.0,,Open,,,,2025-05-14,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-05,3.0,8.0,
23.0,DZF,DZF,DZF,2025-05-22,DZF,46,Local crossbred,Cow,,right,15.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,6.0,1.0,,7.0,,Open,,,,2025-05-14,967,Grey Brahman,3.0,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-05,3.0,8.0,
25.0,DZF,DZF,DZF,2025-05-22,DZF,49,Local crossbred,Cow,,left,15.0,CIDR+E2+PGF+ECG,Fresh,,,Hamid,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-14,602,Grey Brahman,2.5,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-05,3.0,8.0,
